tick,time
2,28.1148
3,14.3826
4,7.0687
5,6.5834
6,2.8781
7,5.3229
8,7.3616
9,10.3898
10,8.3169
11,8.842
12,6.3944
13,4.2536
14,13.7419
15,4.591
16,2.89
17,2.258
18,4.2805
19,10.2309
20,14.3939
21,4.7935
22,0.0451
23,0.0439
24,0
25,0.0419
26,0.0757
27,0.0489
28,0.1371
29,0.0493
30,2.0455
31,0.128
32,0.0391
33,5.8424
34,0.1528
35,1.5411
36,0.0632
37,0.058
38,5.5035
39,0.9898
40,0.0621
41,1.1697
42,0.0474
43,0.0496
44,0
45,0.0466
46,0.0786
47,0.0562
48,0.1422
49,0.0555
50,0.0483
51,0.135
52,0.4282
53,0.1032
54,0.1089
55,0.0555
56,2.4579
57,0.6423
58,4.4997
59,0.045
60,0.0619
61,0.0389
62,4.5315
63,0.584
64,0
65,0.2502
66,0.063
67,1.0746
68,0.1258
69,0.0475
70,0.0316
71,0.9062
72,0.0319
73,1.8916
74,1.4689
75,0.0357
76,1.797
77,0.038
78,0.722
79,0.0293
80,2.5107
81,0.6981
82,1.8384
83,0.0345
84,0.9022
85,0.0328
86,0.9549
87,2.1531
88,0.1446
89,0.0404
90,1.2774
91,0.1189
92,1.7075
93,1.0331
94,2.131
95,0.0382
96,1.2099
97,0.0379
98,0.0315
99,0.0313
100,1.6267
101,0.0315
102,0.1568
103,0.0356
104,1.231
105,0.1844
106,1.9115
107,1.4787
108,0.1183
109,0.0418
110,0.0328
111,0.9426
112,0.7702
113,2.1028
114,0.0968
115,7.4651
116,0.0494
117,1.4396
118,0.0293
119,0.0319
120,0.0458
121,0.638
122,0.0374
123,0.0272
124,0
125,0.2662
126,0.9375
127,0.041
128,0.1584
129,1.0809
130,2.326
131,0.1084
132,5.6496
133,2.3513
134,4.3586
135,1.447
136,6.279
137,0.0423
138,3.4563
139,5.1723
140,2.4737
141,0.3551
142,0.2791
143,0.5222
144,0.0106
145,4.4012
146,0.0613
147,3.2301
148,1.6682
149,0.1454
150,0.9204
151,1.9282
152,0.0432
153,0.9228
154,0.1042
155,0.921
156,0.7096
157,0.2721
158,2.2788
159,0.0422
160,0.0522
161,1.4843
162,0.3823
163,0.0468
164,0.9726
165,0.043
166,0.7947
167,0.801
168,0.1245
169,0.9244
170,0.3485
171,0.1171
172,0.0383
173,0.6953
174,1.236
175,6.7265
176,0.0546
177,0.6751
178,0.0366
179,0.9185
180,0.0543
181,2.4013
182,0.0461
183,0.0451
184,0.0084
185,0.0431
186,3.0413
187,0.7431
188,0.1335
189,0.6378
190,1.1404
191,0.1151
192,0.4216
193,3.2955
194,0.1109
195,1.1747
196,1.3791
197,0.0398
198,0.0453
199,0.729
200,0.9209
201,0.0314
202,1.2155
203,0.2529
204,1.6362
205,0.1861
206,3.1045
207,1.7782
208,2.376
209,2.6317
210,0.0341
211,0.7702
212,0.0336
213,0.7196
214,0.4385
215,0.04
216,0.0504
217,0.0404
218,0.3613
219,0.033
220,0.9602
221,0.4456
222,0.6379
223,1.2701
224,1.3778
225,0.6818
226,1.1293
227,0.7546
228,1.0803
229,0.9915
230,1.0758
231,0.6094
