tick,time
466,1.7081
467,0.047
468,0.1183
469,0.1483
470,0.0356
471,2.1016
472,0.5912
473,0.2063
474,0.8004
475,0.3182
476,1.9572
477,0.0469
478,2.9482
479,0.0344
480,1.1617
481,0.0343
482,0.1521
483,0.0372
484,0
485,0.7016
486,0.624
487,0.0467
488,1.0557
489,1.7995
490,1.9274
491,0.1083
492,0.0328
493,2.5296
494,0.7822
495,0.7604
496,4.9706
497,3.5225
498,0.2466
499,0.0332
500,0.3918
501,2.9923
502,6.3599
503,0.0411
504,0.0041
505,1.1821
506,0.063
507,0.6724
508,2.1089
509,0.5378
510,1.9089
511,4.3319
512,0.6734
513,5.5924
514,2.428
515,0.0474
516,0.0584
517,0.6961
518,0.8767
519,0.035
520,0.0514
521,0.7574
522,1.8234
523,0.9356
524,6.7198
525,2.7768
526,0.8896
527,1.7761
528,0.2175
529,0.044
530,0.0349
531,0.1095
532,0.0327
533,0.6933
534,0.0841
535,1.1498
536,0.0494
537,0.0437
538,0.0361
539,0.3863
540,0.0532
541,0.0344
542,1.6456
543,0.041
544,3.0416
545,0.035
546,0.5429
547,0.0454
548,0.3398
549,0.0488
550,0.9522
551,0.5985
552,3.1709
553,1.4605
554,2.1755
555,0.2255
556,0.0499
557,0.0408
558,0.034
559,4.4759
560,0.0537
561,0.6401
562,2.6508
563,4.0853
564,0.4571
565,1.4173
566,3.3623
567,0.0477
568,6.0947
569,0.0442
570,0.0268
571,0.1075
572,2.5008
573,1.771
574,0.0887
575,0.4094
576,3.0245
577,0.0423
578,0.0379
579,0.0334
580,0.0511
581,1.5503
582,4.5514
583,8.981
584,0
585,5.9314
586,0.0608
587,0.0447
588,0.1222
589,2.3128
590,0.2199
591,1.0969
592,0.1962
593,0.0589
594,3.4103
595,0.0422
596,2.6434
597,2.1364
598,0.034
599,0.3811
600,0.1696
601,2.6923
602,3.1342
603,0.1966
604,0
605,5.7585
606,2.9536
607,0.9661
608,0.804
609,1.2172
610,0.8275
611,1.0966
612,0.0301
613,0.0552
614,0.0905
615,0.0417
616,3.7417
617,0.8541
618,0.1868
619,1.3533
620,0.7073
621,1.4869
622,0.0422
623,0.8865
