tick,time
1,0
2,318.8889
3,243.6089
4,348.0509
5,330.1429
6,365.5915
7,332.6663
8,237.6661
9,366.7999
10,547.2462
11,287.448
12,369.6295
13,287.759
14,327.4949
15,214.5957
16,177.0592
17,184.9564
18,208.4362
19,191.0827
20,115.4283
21,111.2514
22,0.0421
23,0.0513
24,0
25,0.039
26,0.0462
27,0.0526
28,0.0464
29,0.04
30,0
31,0.067
32,0
33,0.0378
34,0.0378
35,0.0377
36,0.0498
37,0
38,0.0352
39,0.0504
40,0.0486
41,0
42,0.0476
43,0.0549
44,0
45,0.0479
46,0.0527
47,0.0527
48,0.0542
49,0.0434
50,0
51,0.0521
52,0
53,0.0732
54,0.0493
55,0.0458
56,0.0528
57,0
58,0.0472
59,0.0491
60,0.0466
61,0
62,0.0465
63,0.0493
64,0
65,0.0474
66,0.0437
67,0.0422
68,0.0358
69,0.0114
70,0
71,0.0197
72,0.0496
73,0.0418
74,0.0124
75,0.0111
76,0.0163
77,0
78,0.0107
79,0.016
80,0.0138
81,0
82,0.0159
83,0.0143
84,0
85,0.0111
86,0.0135
87,0.0142
88,0.0125
89,0.0103
90,0
91,0.0142
92,0
93,0.0102
94,0.0117
95,0.0101
96,0.0133
97,0
98,0.0102
99,0.0135
100,0.0139
101,0.0466
102,0.0134
103,0.0137
104,0
105,0.0116
106,0.0132
107,0.038
108,0.0126
109,0.0113
110,0
111,0.0127
112,0
113,0.011
114,0.0103
115,0.011
116,0.0132
117,0
118,0.0107
119,0.0125
120,0.0148
121,0
122,0.0118
123,0.0487
124,0
125,0.0107
126,0.0138
127,0.0299
128,0.013
129,0.0104
130,0
131,0.0155
132,0
133,0.0119
134,0.0107
135,0.0098
136,0.0128
137,0
138,0.0108
139,0.0133
140,0.0139
141,0
142,0.3195
143,0.0141
144,0
145,0.0115
146,0.0197
147,0.0134
148,0.0127
149,0.0106
150,77.3494
151,42.0635
152,0
153,0.0098
154,61.4136
155,0.0106
156,0.013
157,0
158,0.01
159,5.901
160,0.0163
161,20.165
162,0.016
163,28.9117
164,0.0056
165,0.0144
166,0.0174
167,0.0173
168,0.0162
169,0.0149
170,0.0061
171,0.0446
172,0.0068
173,0.0141
174,0.0151
175,0.0159
176,0.0174
177,0.0051
178,0.0152
179,0.0173
180,0.0205
181,0.0066
182,0.0164
183,0.0174
184,0
185,0.0111
186,0.0124
187,0.0139
188,0.0121
189,0.0466
190,0
191,0.0127
192,0
193,0.0123
194,0.0109
195,0.0111
196,5.7678
197,0.0037
198,0.0134
199,0.0416
200,0.0149
201,0.0049
202,0.0213
203,0.0193
204,0.0049
205,0.0148
206,0.0158
207,0.0158
208,0.0157
209,0.0133
210,0.0037
211,56.5607
212,0.004
213,0.0139
214,0.0131
215,0.0556
216,0.3192
217,0.0039
218,0.0114
219,0.0169
220,0.0167
221,6.1401
222,6.0228
223,0.0213
224,0.0076
225,5.843
226,0.0201
227,0.0192
228,0.0192
229,0.0155
230,0.0068
231,0.0195
232,0.007
233,0.0169
234,0.0158
235,0.0152
236,0.0201
237,0.0086
238,0.017
239,27.8615
240,0.0196
241,0.0075
